"","DB.classKey","mouse","human","ensembl"
"102",48883650,"Chrnb1","CHRNB1","ENSG00000170175"
"103",48883651,"Chrne","CHRNE","ENSG00000108556"
"104",48883652,"Chrng","CHRNG","ENSG00000196811"
"105",48883653,"Pgm5","PGM5","ENSG00000154330"
"106",48883654,"Acin1","ACIN1","ENSG00000100813"
"107",48883655,"Tnk1","TNK1","ENSG00000174292"
"108",48883656,"Tnk2","TNK2","ENSG00000061938"
"109",48883657,"Acly","ACLY","ENSG00000131473"
"110",48883658,"Sdhaf3","SDHAF3","ENSG00000196636"
"111",48883659,"Acot11","ACOT11","ENSG00000162390"
"112",48883660,"Acot10","ACOT9","ENSG00000123130"
"113",48883661,"Acot9","ACOT9","ENSG00000123130.1"
"114",48883662,"Acp5","ACP5","ENSG00000102575"
"115",48883663,"Pxylp1","PXYLP1","ENSG00000155893"
"116",48883664,"Adipoq","ADIPOQ","ENSG00000181092"
"117",48883665,"Acsl1","ACSL1","ENSG00000151726"
"118",48883666,"Acsl3","ACSL3","ENSG00000123983"
"119",48883667,"Acsl4","ACSL4","ENSG00000068366"
"120",48883668,"Acss1","ACSS1","ENSG00000154930"
"121",48883669,"Traf3ip2","TRAF3IP2","ENSG00000056972"
"122",48883670,"Actc1","ACTC1","ENSG00000159251"
"123",48883671,"Inhba","INHBA","ENSG00000122641"
"124",48883672,"Inhbb","INHBB","ENSG00000163083"
"125",48883673,"Acta1","ACTA1","ENSG00000143632"
"126",48883674,"Pomc","POMC","ENSG00000115138"
"127",48883675,"Actg1","ACTG1","ENSG00000184009"
"128",48883676,"Actb","ACTB","ENSG00000075624"
"129",48883677,"Actn2","ACTN2","ENSG00000077522"
"130",48883678,"Actn3","ACTN3","ENSG00000248746"
"131",48883679,"Actr1b","ACTR1B","ENSG00000115073"
"132",48883680,"Actr2","ACTR2","ENSG00000138071"
"133",48883681,"Acvr2a","ACVR2A","ENSG00000121989"
"134",48883682,"Acvr2b","ACVR2B","ENSG00000114739"
"135",48883683,"Acvr1","ACVR1","ENSG00000115170"
"136",48883684,"Acvr1b","ACVR1B","ENSG00000135503"
"137",48883685,"Noc3l","NOC3L","ENSG00000173145"
"138",48883686,"Ada","ADA","ENSG00000196839"
"139",48883687,"Adal","MAPDA","ENSG00000168803"
"140",48883688,"Adam10","ADAM10","ENSG00000137845"
"141",48883689,"Adam12","ADAM12","ENSG00000148848"
"142",48883690,"Adam17","ADAM17","ENSG00000151694"
"143",48883691,"Adam8","ADAM8","ENSG00000151651"
"144",48883692,"Adam9","ADAM9","ENSG00000168615"
"145",48883693,"Adamts15","ADAMTS15","ENSG00000166106"
"146",48883694,"Adamts2","ADAMTS2","ENSG00000087116"
"147",48883695,"Adamts8","ADAMTS8","ENSG00000134917"
"148",48883696,"Adamtsl2","ADAMTSL2","ENSG00000197859"
"149",48883697,"Thsd4","THSD4","ENSG00000187720"
"150",48883698,"Adap1","ADAP1","ENSG00000105963"
"151",48883699,"Adarb1","ADARB1","ENSG00000197381"
"152",48883700,"Coq8a","COQ8A","ENSG00000163050"
"153",48883701,"Coq8b","COQ8B","ENSG00000123815"
"154",48883702,"Adcy3","ADCY3","ENSG00000138031"
"155",48883703,"Adcy8","ADCY8","ENSG00000155897"
"156",48883704,"Adcy7","ADCY7","ENSG00000121281"
"157",48883705,"Adcy6","ADCY6","ENSG00000174233"
"158",48883706,"Adcyap1","ADCYAP1","ENSG00000141433"
"159",48883707,"Adcyap1r1","ADCYAP1R1","ENSG00000078549"
"160",48883708,"Add3","ADD3","ENSG00000148700"
"161",48883709,"Plin2","PLIN2","ENSG00000147872"
"162",48883710,"Adgra1","ADGRA1","ENSG00000197177"
"163",48883711,"Adgrg7","ADGRG7","ENSG00000144820"
"164",48883712,"Adh5","ADH5","ENSG00000197894"
"165",48883713,"Adipor1","ADIPOR1","ENSG00000159346"
"166",48883714,"Adk","ADK","ENSG00000156110"
"167",48883715,"Adm2","ADM2","ENSG00000128165"
"168",48883716,"Gpr182","GPR182","ENSG00000166856"
"169",48883717,"Adnp","ADNP","ENSG00000101126"
"170",48883718,"Adnp2","ADNP2","ENSG00000101544"
"171",48883719,"Adora1","ADORA1","ENSG00000163485"
"172",48883720,"Adprs","ADPRS","ENSG00000116863"
"173",48883721,"Adprm","ADPRM","ENSG00000170222"
"174",48883722,"Parp2","PARP2","ENSG00000129484"
"175",48883723,"Sars1","SARS1","ENSG00000031698"
"176",48883724,"Adra1a","ADRA1A","ENSG00000120907"
"177",48883725,"Grk3","GRK3","ENSG00000100077"
"178",48883726,"Adrm1","ADRM1","ENSG00000130706"
"179",48883727,"Adrm1b","ADRM1","ENSG00000130706.1"
"180",48883728,"Adss2","ADSS2","ENSG00000035687"
"181",48883729,"Adss1","ADSS1","ENSG00000185100"
"182",48883730,"Ap1g1","AP1G1","ENSG00000166747"
"183",48883731,"Hba-a1","HBA1","ENSG00000206172.1"
"184",48883731,"Hba-a1","HBA2","ENSG00000188536.1"
"185",48883732,"Slc4a1","SLC4A1","ENSG00000004939"
"186",48883733,"Slc4a2","SLC4A2","ENSG00000164889"
"187",48883734,"Slc4a3","SLC4A3","ENSG00000114923"
"188",48883735,"Aebp1","AEBP1","ENSG00000106624"
"189",48883736,"Ctnna1","CTNNA1","ENSG00000044115"
"190",48883737,"Dll1","DLL1","ENSG00000198719"
"191",48883738,"Lgmn","LGMN","ENSG00000100600"
"192",48883739,"Tle5","TLE5","ENSG00000104964"
"193",48883740,"Cfp","CFP","ENSG00000126759"
"194",48883741,"Has3","HAS3","ENSG00000103044"
"195",48883742,"Hnf1a","HNF1A","ENSG00000135100"
"196",48883743,"Gfap","GFAP","ENSG00000131095"
"197",48883744,"Afap1l1","AFAP1L1","ENSG00000157510"
"198",48883745,"Aff1","AFF1","ENSG00000172493"
"199",48883746,"Parvb","PARVB","ENSG00000188677"
"200",48883747,"Apoa2","APOA2","ENSG00000158874"
"201",48883748,"Agr3","AGR3","ENSG00000173467"
"202",48883749,"Gatm","GATM","ENSG00000171766"
"203",48883750,"Acan","ACAN","ENSG00000157766"
"204",48883751,"Agfg1","AGFG1","ENSG00000173744"
"205",48883752,"Agl","AGL","ENSG00000162688"
"206",48883753,"Igfbp7","IGFBP7","ENSG00000163453"
"207",48883754,"Ago1","AGO1","ENSG00000092847"
"208",48883755,"Ago2","AGO2","ENSG00000123908"
"209",48883756,"Ago3","AGO3","ENSG00000126070"
"210",48883757,"Ago4","AGO4","ENSG00000134698"
"211",48883758,"Gpat4","GPAT4","ENSG00000158669"
"212",48883759,"Gpat3","GPAT3","ENSG00000138678"
"213",48883760,"Agrn","AGRN","ENSG00000188157"
"214",48883761,"Agrp","AGRP","ENSG00000159723"
"215",48883762,"Agtr1a","AGTR1","ENSG00000144891"
"216",48883763,"Agtr1b","AGTR1","ENSG00000144891.1"
"217",48883764,"Aplnr","APLNR","ENSG00000134817"
"218",48883765,"Agxt","AGXT","ENSG00000172482"
"219",48883766,"Etnppl","ETNPPL","ENSG00000164089"
"220",48883767,"Ahcyl2","AHCYL2","ENSG00000158467"
"221",48883768,"Ahr","AHR","ENSG00000106546"
"222",48883769,"Ahrr","AHRR","ENSG00000063438"
"223",48883770,"Ahsa1","AHSA1","ENSG00000100591"
"224",48883771,"Ahsg","AHSG","ENSG00000145192"
"225",48883772,"Tgfb1","TGFB1","ENSG00000105329"
"226",48883773,"Naxe","NAXE","ENSG00000163382"
"227",48883774,"Yjefn3","YJEFN3","ENSG00000250067"
"228",48883775,"Aicda","AICDA","ENSG00000111732"
"229",48883776,"Aifm1","AIFM1","ENSG00000156709"
"230",48883777,"Aif1l","AIF1L","ENSG00000126878"
"231",48883778,"Slc45a2","SLC45A2","ENSG00000164175"
"232",48883779,"Crybg1","CRYBG1","ENSG00000112297"
"233",48883780,"Crybg2","CRYBG2","ENSG00000176092"
"234",48883781,"Aimp1","AIMP1","ENSG00000164022"
"235",48883782,"Aipl1","AIPL1","ENSG00000129221"
"236",48883783,"Wdr75","WDR75","ENSG00000115368"
"237",48883784,"Wdr55","WDR55","ENSG00000120314"
"238",48883785,"Ak3","AK3","ENSG00000147853"
"239",48883786,"Ak4","AK4","ENSG00000162433"
"240",48883787,"Ak7","AK7","ENSG00000140057"
"241",48883788,"Akap1","AKAP1","ENSG00000121057"
"242",48883789,"Akap12","AKAP12","ENSG00000131016"
"243",48883790,"Ak9","AK9","ENSG00000155085"
"244",48883791,"Hsp90aa1","HSP90AA1","ENSG00000080824"
"245",48883792,"Akr1a1","AKR1A1","ENSG00000117448"
"246",48883793,"Akr1b1","AKR1B1","ENSG00000085662"
"247",48883794,"Efna5","EFNA5","ENSG00000184349"
"248",48883795,"Alas2","ALAS2","ENSG00000158578"
"249",48883796,"Alas1","ALAS1","ENSG00000023330"
"250",48883797,"Alcam","ALCAM","ENSG00000170017"
"251",48883798,"Aldh2","ALDH2","ENSG00000111275"
"252",48883799,"Aldh3a2","ALDH3A2","ENSG00000072210"
"253",48883800,"Aldh3b2","ALDH3B2","ENSG00000132746"
"254",48883801,"Aldh3b1","ALDH3B1","ENSG00000006534"
"255",48883802,"Aldh3b3","ALDH3B2","ENSG00000132746.1"
"256",48883803,"Aldh9a1","ALDH9A1","ENSG00000143149"
"257",48883806,"Aldoc","ALDOC","ENSG00000109107"
"258",48883807,"Kcnk5","KCNK5","ENSG00000164626"
"259",48883808,"Rnf121","RNF121","ENSG00000137522"
"260",48883809,"Cops2","COPS2","ENSG00000166200"
"261",48883810,"Acvrl1","ACVRL1","ENSG00000139567"
"262",48883811,"Bmpr1a","BMPR1A","ENSG00000107779"
"263",48883812,"Tgfbr1","TGFBR1","ENSG00000106799"
"264",48883813,"Bmpr1b","BMPR1B","ENSG00000138696"
"265",48883814,"Paf1","PAF1","ENSG00000006712"
"266",48883815,"Lmx1b","LMX1B","ENSG00000136944"
"267",48883816,"Alox12","ALOX12","ENSG00000108839"
"268",48883817,"Alox15","ALOX15","ENSG00000161905"
"269",48883819,"Alox8","ALOX15B","ENSG00000179593"
"270",48883820,"Alox12b","ALOX12B","ENSG00000179477"
"271",48883821,"Aloxe3","ALOXE3","ENSG00000179148"
"272",48883822,"Alox5","ALOX5","ENSG00000012779"
"273",48883823,"Pdlim3","PDLIM3","ENSG00000154553"
"274",48883824,"Alpl","ALPL","ENSG00000162551"
"275",48883825,"Col1a1","COL1A1","ENSG00000108821"
"276",48883826,"Col1a2","COL1A2","ENSG00000164692"
"277",48883827,"Sptan1","SPTAN1","ENSG00000197694"
"278",48883828,"H2-Aa","HLA-DQA2","ENSG00000237541"
"279",48883828,"H2-Aa","HLA-DQA1","ENSG00000196735"
"280",48883829,"H2-Oa","HLA-DOA","ENSG00000204252"
"281",48883830,"H2-Ea","HLA-DRA","ENSG00000204287"
"282",48883831,"Chn1","CHN1","ENSG00000128656"
"283",48883832,"Napa","NAPA","ENSG00000105402"
"284",48883833,"Alpi","ALPI","ENSG00000163295"
"285",48883833,"Alpi","ALPP","ENSG00000163283"
"286",48883833,"Alpi","ALPG","ENSG00000163286"
"287",48883834,"Akp3","ALPI","ENSG00000163295.1"
"288",48883834,"Akp3","ALPG","ENSG00000163286.1"
"289",48883835,"Alppl2","ALPG","ENSG00000163286.2"
"290",48883835,"Alppl2","ALPI","ENSG00000163295.2"
"291",48883836,"Gfer","GFER","ENSG00000127554"
"292",48883837,"Als2","ALS2","ENSG00000003393"
"293",48883838,"Tmem237","TMEM237","ENSG00000155755"
"294",48883839,"Carf","CARF","ENSG00000138380"
"295",48883840,"Vsx2","VSX2","ENSG00000119614"
"296",48883841,"Alx4","ALX4","ENSG00000052850"
"297",48883842,"Vwa2","VWA2","ENSG00000165816"
"298",48883843,"Ambp","AMBP","ENSG00000106927"
"299",48883844,"Amfr","AMFR","ENSG00000159461"
"300",48883845,"Myh6","MYH6","ENSG00000197616"
"301",48883846,"Runx1","RUNX1","ENSG00000159216"
"302",48883847,"Amotl2","AMOTL2","ENSG00000114019"
"303",48883848,"Ampd2","AMPD2","ENSG00000116337"
"304",48883849,"Ampd3","AMPD3","ENSG00000133805"
"305",48883850,"Prkaa1","PRKAA1","ENSG00000132356"
"306",48883851,"Prkaa2","PRKAA2","ENSG00000162409"
"307",48883852,"Dcaf7","DCAF7","ENSG00000136485"
"308",48883853,"Wdhd1","WDHD1","ENSG00000198554"
"309",48883854,"Nppa","NPPA","ENSG00000175206"
"310",48883855,"Appl1","APPL1","ENSG00000157500"
"311",48883856,"Hesx1","HESX1","ENSG00000163666"
"312",48883857,"Sapcd2","SAPCD2","ENSG00000186193"
"313",48883858,"Angpt1","ANGPT1","ENSG00000154188"
"314",48883859,"Angpt2","ANGPT2","ENSG00000091879"
"315",48883860,"Vps51","VPS51","ENSG00000149823"
"316",48883861,"Angptl1","ANGPTL1","ENSG00000116194"
"317",48883862,"Angptl2","ANGPTL2","ENSG00000136859"
"318",48883863,"Ank1","ANK1","ENSG00000029534"
"319",48883864,"Ank2","ANK2","ENSG00000145362"
"320",48883865,"Ank3","ANK3","ENSG00000151150"
"321",48883866,"Ankfn1","ANKFN1","ENSG00000153930"
"322",48883867,"Ank","ANKH","ENSG00000154122"
"323",48883868,"Ankib1","ANKIB1","ENSG00000001629"
"324",48883869,"Ankmy2","ANKMY2","ENSG00000106524"
"325",48883870,"Ankrd10","ANKRD10","ENSG00000088448"
"326",48883871,"Ankrd13a","ANKRD13A","ENSG00000076513"
"327",48883872,"Kank1","KANK1","ENSG00000107104"
"328",48883873,"Ankrd26","ANKRD26","ENSG00000107890"
"329",48883874,"Ankrd28","ANKRD28","ENSG00000206560"
"330",48883875,"Ankrd33","ANKRD33","ENSG00000167612"
"331",48883876,"Ankrd33b","ANKRD33B","ENSG00000164236"
"332",48883877,"Sowaha","SOWAHA","ENSG00000198944"
"333",48883878,"Ankrd46","ANKRD46","ENSG00000186106"
"334",48883879,"Ankrd52","ANKRD52","ENSG00000139645"
"335",48883880,"Sowahd","SOWAHD","ENSG00000187808"
"336",48883881,"Ankef1","ANKEF1","ENSG00000132623"
"337",48883882,"Ankrd6","ANKRD6","ENSG00000135299"
"338",48883883,"Nusap1","NUSAP1","ENSG00000137804"
"339",48883884,"Ano1","ANO1","ENSG00000131620"
"340",48883885,"Ano10","ANO10","ENSG00000160746"
"341",48883886,"Ano2","ANO2","ENSG00000047617"
"342",48883887,"Anpep","ANPEP","ENSG00000166825"
"343",48883888,"Serpinc1","SERPINC1","ENSG00000117601"
"344",48883889,"Lefty1","LEFTY1","ENSG00000243709"
"345",48883890,"Lefty2","LEFTY2","ENSG00000143768"
"346",48883891,"Antxr1","ANTXR1","ENSG00000169604"
"347",48883892,"Antxrl","ANTXRL","ENSG00000274209"
"348",48883894,"Zfand4","ZFAND4","ENSG00000172671"
"349",48883895,"Anxa5","ANXA5","ENSG00000164111"
"350",48883896,"Anxa3","ANXA3","ENSG00000138772"
"351",48883897,"Kdm1a","KDM1A","ENSG00000004487"
"352",48883899,"Aox2","AOX2P","ENSG00000243478"
"353",48883900,"Aox3","AOX3P","ENSG00000290905"
"354",48883901,"Aox1","AOX1","ENSG00000138356"
"355",48883902,"Tfap2a","TFAP2A","ENSG00000137203"
"356",48883903,"Tfap2b","TFAP2B","ENSG00000008196"
"357",48883904,"Ap2m1","AP2M1","ENSG00000161203"
"358",48883905,"Ap3b1","AP3B1","ENSG00000132842"
"359",48883906,"Tfap4","TFAP4","ENSG00000090447"
"360",48883907,"Ap4b1","AP4B1","ENSG00000134262"
"361",48883908,"Apba1","APBA1","ENSG00000107282"
"362",48883909,"Apba2","APBA2","ENSG00000034053"
"363",48883910,"Apbb2","APBB2","ENSG00000163697"
"364",48883911,"Speg","SPEG","ENSG00000072195"
"365",48883912,"Atg3","ATG3","ENSG00000144848"
"366",48883913,"Atg4b","ATG4B","ENSG00000168397"
"367",48883914,"Atg4c","ATG4C","ENSG00000125703"
"368",48883915,"Atg5","ATG5","ENSG00000057663"
"369",48883916,"Api5","API5","ENSG00000166181"
"370",48883917,"Cenps","CENPS","ENSG00000175279"
"371",48883917,"Cenps","CENPS-CORT","ENSG00000251503"
"372",48883918,"Prkci","PRKCI","ENSG00000163558"
"373",48883919,"Aplp1","APLP1","ENSG00000105290"
"374",48883920,"Apobec2","APOBEC2","ENSG00000124701"
"375",48883921,"Apoa1","APOA1","ENSG00000118137"
"376",48883922,"Apoa4","APOA4","ENSG00000110244"
"377",48883923,"Apob","APOB","ENSG00000084674"
"378",48883924,"Apoc1","APOC1","ENSG00000130208"
"379",48883925,"Apod","APOD","ENSG00000189058"
"380",48883926,"Apoe","APOE","ENSG00000130203"
"381",48883927,"Lrp8","LRP8","ENSG00000157193"
"382",48883928,"Apoo","APOO","ENSG00000184831"
"383",48883929,"Coa8","COA8","ENSG00000256053"
"384",48883930,"Pycard","PYCARD","ENSG00000103490"
"385",48883931,"App","APP","ENSG00000142192"
"386",48883932,"Nae1","NAE1","ENSG00000159593"
"387",48883933,"Tnfsf13","TNFSF13","ENSG00000161955"
"388",48883934,"Mip","MIP","ENSG00000135517"
"389",48883935,"Aqp11","AQP11","ENSG00000178301"
"390",48883936,"Aqp1","AQP1","ENSG00000240583"
"391",48883937,"Aqp3","AQP3","ENSG00000165272"
"392",48883938,"Aqp8","AQP8","ENSG00000103375"
"393",48883939,"Aqp9","AQP9","ENSG00000103569"
"394",48883940,"Cyp19a1","CYP19A1","ENSG00000137869"
"395",48883941,"Ar","AR","ENSG00000169083"
"396",48883942,"Rnf14","RNF14","ENSG00000013561"
"397",48883943,"Slc25a12","SLC25A12","ENSG00000115840"
"398",48883944,"Rplp0","RPLP0P6","ENSG00000213553"
"399",48883944,"Rplp0","RPLP0","ENSG00000089157"
"400",48883945,"Arcn1","ARCN1","ENSG00000095139"
"401",48883946,"Naa11","NAA11","ENSG00000156269"
"402",48883947,"Naa12","NAA11","ENSG00000156269.1"
"403",48883948,"Naa10","NAA10","ENSG00000102030"
"404",48883949,"Map3k14","MAP3K14","ENSG00000006062"
"405",48883950,"Arf2","ARF2P",NA
"406",48883951,"Arf3","ARF3","ENSG00000134287"
"407",48883952,"Arf6","ARF6","ENSG00000165527"
"408",48883953,"Pparg","PPARG","ENSG00000132170"
"409",48883954,"Arap3","ARAP3","ENSG00000120318"
"410",48883955,"Avp","AVP","ENSG00000101200"
"411",48883956,"Arglu1","ARGLU1","ENSG00000134884"
"412",48883957,"Sorbs2","SORBS2","ENSG00000154556"
"413",48883958,"Rhoa","RHOA","ENSG00000067560"
"414",48883959,"Rnd3","RND3","ENSG00000115963"
"415",48883960,"Arhgap12","ARHGAP12","ENSG00000165322"
"416",48883961,"Arhgap22","ARHGAP22","ENSG00000128805"
"417",48883962,"Arhgap23","ARHGAP23","ENSG00000275832"
"418",48883963,"Arhgap29","ARHGAP29","ENSG00000137962"
"419",48883964,"Arhgap35","ARHGAP35","ENSG00000160007"
"420",48883965,"Arhgap44","ARHGAP44","ENSG00000006740"
"421",48883966,"Arhgap45","ARHGAP45","ENSG00000180448"
"422",48883967,"Arhgap36","ARHGAP36","ENSG00000147256"
"423",48883968,"Arhgef2","ARHGEF2","ENSG00000116584"
"424",48883969,"Arhgef1","ARHGEF1","ENSG00000076928"
"425",48883970,"Arhgef10l","ARHGEF10L","ENSG00000074964"
"426",48883971,"Arhgef15","ARHGEF15","ENSG00000198844"
"427",48883972,"Arhgef18","ARHGEF18","ENSG00000104880"
"428",48883973,"Arhgef28","ARHGEF28","ENSG00000214944"
"429",48883974,"Arhgef37","ARHGEF37","ENSG00000183111"
"430",48883975,"Arhgef7","ARHGEF7","ENSG00000102606"
"431",48883976,"Arhgef9","ARHGEF9","ENSG00000131089"
"432",48883977,"Rnd2","RND2","ENSG00000108830"
"433",48883978,"Rnd1","RND1","ENSG00000172602"
"434",48883979,"Arid4b","ARID4B","ENSG00000054267"
"435",48883980,"Phox2a","PHOX2A","ENSG00000165462"
"436",48883981,"Arl8b","ARL8B","ENSG00000134108"
"437",48883982,"Arl15","ARL15","ENSG00000185305"
"438",48883983,"Arl13b","ARL13B","ENSG00000169379"
"439",48883984,"Arl3","ARL3","ENSG00000138175"
"440",48883985,"Arl4a","ARL4A","ENSG00000122644"
"441",48883986,"Arl6ip1","ARL6IP1","ENSG00000170540"
"442",48883987,"Atl2","ATL2","ENSG00000119787"
"443",48883988,"Arl6ip5","ARL6IP5","ENSG00000144746"
"444",48883989,"Arl5b","ARL5B","ENSG00000165997"
"445",48883990,"Odad2","ODAD2","ENSG00000169126"
"446",48883991,"Arnt","ARNT","ENSG00000143437"
"447",48883992,"Arnt2","ARNT2","ENSG00000172379"
"448",48883993,"Bmal1","BMAL1","ENSG00000133794"
"449",48883994,"Bmal2","BMAL2","ENSG00000029153"
"450",48883995,"Ddc","DDC","ENSG00000132437"
"451",48883996,"Arpc5","ARPC5","ENSG00000162704"
"452",48883997,"Arpc5l","ARPC5L","ENSG00000136950"
"453",48883998,"Arpp19","ARPP19","ENSG00000128989"
"454",48883999,"Arr3","ARR3","ENSG00000120500"
"455",48884000,"Arrb2","ARRB2","ENSG00000141480"
"456",48884001,"Arrb1","ARRB1","ENSG00000137486"
"457",48884002,"Arrdc1","ARRDC1","ENSG00000197070"
"458",48884003,"Arrdc3","ARRDC3","ENSG00000113369"
"459",48884004,"Sag","SAG","ENSG00000130561"
"460",48884005,"Srrt","SRRT","ENSG00000087087"
"461",48884006,"Arsi","ARSI","ENSG00000183876"
"462",48884007,"Arx","ARX","ENSG00000004848"
"463",48884008,"Asah1","ASAH1","ENSG00000104763"
"464",48884009,"Asap1","ASAP1","ENSG00000153317"
